id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
41856324,Lovely Garden Suite in Kitsilano Character Home,18054316,Tanya,,Kitsilano,49.26652,-123.14896,Entire home/apt,276,3,0,,,1,153
41860884,❤️Adera home Hotel RM04,290893566,George,,Marpole,49.21532,-123.14266,Private room,65,1,10,2020-04-09,2.88,16,304
41861080,❤️Adera Home Hotel RM05,290893566,George,,Marpole,49.21484,-123.14419,Private room,65,1,9,2020-04-01,2.62,16,355
41862336,Stylish family home close to beach,331031445,Bryce,,Kitsilano,49.26757,-123.1855,Entire home/apt,556,5,0,,,1,106
41862751,Private and Polished Suite near Fraserhood,36632834,Kristen,,Kensington-Cedar Cottage,49.23889,-123.08275,Entire home/apt,100,1,5,2020-04-15,1.69,1,16
41864818,Joyce-Collingwood station - room 2C (Female only),10833300,Andy,,Renfrew-Collingwood,49.23558,-123.02729,Private room,18,30,0,,,8,302
41865639,Bright and new 2 bedrooms suite near Commercial Dr,133100241,Kevin,,Grandview-Woodland,49.26341,-123.06471,Entire home/apt,149,7,1,2020-03-11,0.45,2,42
41872968,"Modern, high-end Furnishings",6517226,Alexander,,Downtown,49.27845,-123.11062,Entire home/apt,225,30,0,,,1,132
41876448,"Luxurious city oasis: steps to ocean, food & shops",30600143,Audrey,,Downtown,49.27755,-123.12935,Entire home/apt,200,1,12,2020-05-10,3.75,1,45
41880232,Spanish style house near UBC,6120340,Steven,,Dunbar Southlands,49.22791,-123.18768,Entire home/apt,85,2,4,2020-03-18,1.13,1,47
41880914,Beautiful 2 Bed Condo Downtown Central,315123918,David,,Downtown,49.27327,-123.12086,Entire home/apt,481,1,3,2020-05-09,1.13,4,0
41883061,Beautiful Suite in Mount Pleasant,262647570,James,,Mount Pleasant,49.26304,-123.0817,Entire home/apt,70,30,0,,,1,348
41883326,Chic and Modern 1-Bed Suite - Minutes to Downtown!,109291627,Vishal,,Downtown Eastside,49.28006,-123.08389,Entire home/apt,87,2,2,2020-04-11,1.15,1,65
41884098,D32 - 1 Bedroom in Coal Harbour,30899,Rami,,Downtown,49.28914,-123.12615,Entire home/apt,94,30,0,,,49,341
41884419,One-of-a-kind Luxury Penthouse w/ private hot-tub,331204156,Jee,,Downtown,49.28043,-123.10815,Entire home/apt,899,2,4,2020-03-17,1.48,1,329
41886174,Capricorn Palace Two 1Bdr+den condos in Yaletown B,21239104,Pisces,,Downtown,49.27564,-123.11582,Entire home/apt,318,2,3,2020-03-04,0.94,14,353
41886408,Charming Ground Level Suite in Character Home!,87630068,Luis,,Kensington-Cedar Cottage,49.24692,-123.0685,Entire home/apt,44,14,2,2020-03-31,0.79,2,88
41890566,Recently Renovated Individual Room near Downtown,323383745,Babychen,,Killarney,49.22995,-123.04238,Private room,39,1,0,,,4,231
41890951,Little Barcelona Suite,331258660,Emily,,Marpole,49.21499,-123.12346,Entire home/apt,80,2,1,2020-02-01,0.29,1,0
41891257,Renovated Individual Large Room near Downtown,323383745,Babychen,,Killarney,49.22807,-123.04343,Private room,49,1,0,,,4,179
41891271,Enjoy Staying in a Beautiful Room at Kits Area,325307735,Pouya,,Kitsilano,49.25976,-123.17048,Private room,110,1,0,,,4,90
41891422,"Renovated, Spacious Individual Room near Downtown",323383745,Babychen,,Killarney,49.22807,-123.04207,Private room,39,1,2,2020-03-01,0.59,4,165
41892035,Enjoy Staying in a Cozy Room at Kits Area,325307735,Pouya,,Kitsilano,49.25838,-123.16943,Private room,106,1,1,2020-03-02,0.40,4,90
41892196,Star Libra Suite,144546407,Hanrison,,Downtown,49.27608,-123.11638,Entire home/apt,100,2,0,,,1,0
41892283,Stay in Characteristic Home 3 bed-2 Bath Kits Area,325307735,Pouya,,Kitsilano,49.25827,-123.1703,Entire home/apt,280,5,1,2020-03-15,0.48,4,104
41909168,Hotel in the Heart of Downtown w/City View,331399851,Gec,,Downtown,49.27505,-123.12776,Private room,79,3,8,2020-04-30,3.38,29,26
41910546,如家小苑,88403791,Annie,,Victoria-Fraserview,49.22314,-123.05144,Entire home/apt,198,1,0,,,1,179
41912474,Sweet Convenient Cozy Suite,304779606,Janice,,Sunset,49.21511,-123.07834,Entire home/apt,106,2,3,2020-03-03,0.93,1,0
41914957,Luxury Modern 2 bdrm 2 bath condo in Downtown Van,21337557,Steven,,Downtown,49.28099,-123.11678,Entire home/apt,129,30,1,2020-04-15,1,1,37
41915425,"Room3 is available (vancouver , bc,canada)",65757581,Ys,,Riley Park,49.25309,-123.09187,Private room,30,2,0,,,5,360
41917797,New! Clean & Central downtown Vancouver view suite,188731233,Will,,West End,49.28097,-123.12757,Entire home/apt,100,1,3,2020-05-07,1.20,1,9
41917935,Central downtown condo w Parking By Rogers Arena,331619448,Charles,,Downtown,49.27835,-123.10675,Entire home/apt,151,1,8,2020-04-03,2.26,1,117
41919429,Best Furnished Room Downtown,331643692,Johnson,,West End,49.28445,-123.13552,Private room,54,14,0,,,1,0
41939547,Executive Yaletown apartment,95217850,Mauricio,,Downtown,49.27531,-123.11572,Entire home/apt,100,30,1,2020-03-31,0.67,13,318
41941767,"Ocean view apartment, steps from Stanley Park!",8833615,Ashish,,Downtown,49.29266,-123.13312,Private room,150,30,0,,,1,0
